epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,69284,1.13304,0.64342,1.25185,0.92708,0.90755,0.94894,0.55631,1.46485,0.65798,1.53841,0.000458,0.000458,0.000458
66,69764.4,1.12807,0.62616,1.2307,0.94867,0.92747,0.96014,0.57309,1.45001,0.62093,1.51556,0.000445625,0.000445625,0.000445625
67,70215.5,1.15952,0.66292,1.25815,0.91395,0.92148,0.95242,0.56959,1.45691,0.65664,1.54336,0.00043325,0.00043325,0.00043325
68,70661,1.13148,0.62883,1.22827,0.93355,0.9351,0.95841,0.57751,1.44043,0.62145,1.52102,0.000420875,0.000420875,0.000420875
69,71104.1,1.12966,0.63812,1.24076,0.92674,0.92926,0.95837,0.57065,1.44267,0.64006,1.52734,0.0004085,0.0004085,0.0004085
70,71538.6,1.12111,0.63273,1.23054,0.94465,0.93035,0.95799,0.56888,1.4509,0.6384,1.53136,0.000396125,0.000396125,0.000396125
71,72073.5,1.1191,0.61996,1.22746,0.96014,0.92895,0.96119,0.58023,1.43704,0.60912,1.52214,0.00038375,0.00038375,0.00038375
72,72551.4,1.10558,0.61276,1.21477,0.9403,0.91812,0.95795,0.57505,1.43105,0.63986,1.51399,0.000371375,0.000371375,0.000371375
73,73083.4,1.09949,0.61638,1.21611,0.93645,0.92733,0.96087,0.58141,1.41773,0.62856,1.53046,0.000359,0.000359,0.000359
74,73659.8,1.09231,0.60979,1.22081,0.92735,0.93992,0.95511,0.56896,1.4584,0.62082,1.55192,0.000346625,0.000346625,0.000346625
75,74203.2,1.07577,0.59405,1.20954,0.94569,0.93115,0.95728,0.57184,1.42607,0.60972,1.51866,0.00033425,0.00033425,0.00033425
76,74767.3,1.07957,0.59465,1.20006,0.92194,0.93488,0.95488,0.57206,1.43337,0.62499,1.53407,0.000321875,0.000321875,0.000321875
77,75359.1,1.08788,0.59985,1.21118,0.95502,0.92097,0.95956,0.5804,1.43008,0.60584,1.51792,0.0003095,0.0003095,0.0003095
78,75858.9,1.07466,0.59,1.1956,0.95097,0.9251,0.95968,0.57551,1.4363,0.60597,1.52339,0.000297125,0.000297125,0.000297125
79,76406.7,1.06683,0.58512,1.19239,0.95283,0.91653,0.9621,0.57711,1.40875,0.60586,1.50795,0.00028475,0.00028475,0.00028475
80,76898.5,1.03359,0.57198,1.17376,0.94588,0.93744,0.95828,0.58248,1.41717,0.58958,1.51968,0.000272375,0.000272375,0.000272375
81,77340.6,1.05373,0.58166,1.19138,0.92012,0.93406,0.95334,0.5692,1.42785,0.62505,1.54462,0.00026,0.00026,0.00026
82,77759.9,1.06437,0.58379,1.19915,0.95041,0.92224,0.95568,0.57377,1.42671,0.61064,1.53906,0.000247625,0.000247625,0.000247625
83,78165.5,1.04305,0.5684,1.19145,0.94628,0.92355,0.95598,0.57674,1.43012,0.61322,1.52745,0.00023525,0.00023525,0.00023525
84,78600.5,1.03468,0.56178,1.18007,0.93177,0.92834,0.9535,0.57128,1.42632,0.60499,1.51884,0.000222875,0.000222875,0.000222875
85,79011,1.03069,0.57245,1.18078,0.94677,0.92364,0.95952,0.57442,1.42659,0.59738,1.53491,0.0002105,0.0002105,0.0002105
86,79415.6,1.03302,0.55547,1.1737,0.95826,0.91378,0.95376,0.57598,1.42386,0.60175,1.53528,0.000198125,0.000198125,0.000198125
87,79819.3,1.02479,0.56694,1.17642,0.92267,0.9554,0.95217,0.57796,1.42315,0.59685,1.53634,0.00018575,0.00018575,0.00018575
88,80219.1,1.00472,0.5656,1.17414,0.95145,0.92663,0.96008,0.58072,1.42689,0.59848,1.5342,0.000173375,0.000173375,0.000173375
